organisation,latitude,longitude,pcds,oslaua,IPSO,NPO,Project Grant,funding_geo_code,funding_geo_name,company_number,accounts_category,sic_code,uri,registered_charity_number,charity_contact_web,funded,company_match,charity_match
JACKDAW MEDIA LIMITED,55.007932,-1.595405,NE7 7LX,E08000021,False,False,False,,,09535122,MICRO ENTITY,"[""59112 - Video production activities"", ""59132 - Video distribution activities""]",http://business.data.gov.uk/id/company/09535122,,,False,True,False
JANET PLATER MANAGEMENT LIMITED,54.969796,-1.610328,NE1 1LF,E08000021,False,False,False,,,03417954,MICRO ENTITY,"[""78101 - Motion picture, television and other theatrical casting activities""]",http://business.data.gov.uk/id/company/03417954,,,False,True,False
JAY JOHNSTONE AND CO LIMITED,55.000977,-1.63526,NE3 4XE,E08000021,False,False,False,,,09290308,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/09290308,,,False,True,False
JAY TV LIMITED,54.970984,-1.599307,NE1 3DX,E08000021,False,False,False,,,03368347,MICRO ENTITY,"[""59112 - Video production activities"", ""74202 - Other specialist photography"", ""96040 - Physical well-being activities""]",http://business.data.gov.uk/id/company/03368347,,,False,True,False
JAZZ NORTH-EAST LIMITED,54.998678,-1.59331,NE7 7AN,E08000021,False,False,False,,,01357300,TOTAL EXEMPTION FULL,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/01357300,,,False,True,False
JENNIFER TATE COPYWRITING LIMITED,55.00816,-1.618856,NE3 1TY,E08000021,False,False,False,,,10928942,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/10928942,,,False,True,False
JESMOND LOCAL LTD,54.996204,-1.5926,NE7 7BY,E08000021,False,False,False,,,07860798,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/07860798,,,False,True,False
JOHNNY GENIUS LIMITED,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,06298082,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/06298082,,,False,True,False
JOSHUA M KERR LTD,54.975232,-1.552162,NE6 3AB,E08000021,False,False,False,,,12125851,TOTAL EXEMPTION FULL,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/12125851,,,False,True,False
JUMPKAT LTD,54.98449,-1.580421,NE6 5XR,E08000021,False,False,False,,,14682141,NO ACCOUNTS FILED,"[""58210 - Publishing of computer games"", ""59112 - Video production activities""]",http://business.data.gov.uk/id/company/14682141,,,False,True,False
Jack Lloyd,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Jade Sweeting,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
James Cook,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Jamie Tansley,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Janina Sabaliauskaite,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Jazz North East Ltd,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Jenny Mc Namara,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Jessica Bennett,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
John Edgar,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
John Kippin,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Juliet Fleming,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
K & T ASSOCIATES LIMITED,54.985504,-1.716909,NE15 8TA,E08000021,False,False,False,,,05082781,MICRO ENTITY,"[""58190 - Other publishing activities"", ""61900 - Other telecommunications activities""]",http://business.data.gov.uk/id/company/05082781,,,False,True,False
KCLE LTD,54.971132,-1.614505,NE1 1UN,E08000021,False,False,False,,,15715236,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15715236,,,False,True,False
KEMA KAY LIMITED,54.978039,-1.599283,NE2 1AL,E08000021,False,False,False,,,13497870,MICRO ENTITY,"[""59113 - Television programme production activities"", ""85600 - Educational support services"", ""90010 - Performing arts""]",http://business.data.gov.uk/id/company/13497870,,,False,True,False
KENSINGTON WEST PRODUCTIONS LIMITED,54.969652,-1.612301,NE1 1RJ,E08000021,False,False,False,,,01844574,MICRO ENTITY,"[""58110 - Book publishing""]",http://business.data.gov.uk/id/company/01844574,,,False,True,False
KIRSTAL HOLDINGS LIMITED,54.991936,-1.609179,NE2 3DH,E08000021,False,False,False,,,10962314,MICRO ENTITY,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/10962314,,,False,True,False
KOSHYK CIC,54.965879,-1.636934,NE4 7RW,E08000021,False,False,False,,,15296769,NO ACCOUNTS FILED,"[""85520 - Cultural education""]",http://business.data.gov.uk/id/company/15296769,,,False,True,False
Karlene Thomas,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Kate Halsall,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Kathleen Jackson,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Kathryn Williams,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Katie Tranter,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Kerrin Tatman,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
L&A ELEMENTS LIMITED,54.977053,-1.612087,NE1 8JW,E08000021,False,False,False,,,14304442,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/14304442,,,False,True,False
LAURA JOHNSTON LIGHTWORKS LTD,54.974814,-1.592361,NE1 2PQ,E08000021,False,False,False,,,03972743,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/03972743,,,False,True,False
LAURA MARY ART LIMITED,55.027593,-1.620377,NE3 5SY,E08000021,False,False,False,,,10545100,UNAUDITED ABRIDGED,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/10545100,,,False,True,False
LAZY LORIS FLOWERS LTD,55.020935,-1.644307,NE3 2AX,E08000021,False,False,False,,,14876246,NO ACCOUNTS FILED,"[""47760 - Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores"", ""47890 - Retail sale via stalls and markets of other goods"", ""62090 - Other information technology service activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/14876246,,,False,True,False
LD TALENT LTD,55.008162,-1.622124,NE3 1DL,E08000021,False,False,False,,,12535775,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/12535775,,,False,True,False
LDPC LTD,54.971132,-1.614505,NE1 1UN,E08000021,False,False,False,,,15668576,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15668576,,,False,True,False
LEGACY ENTERTAINMENT GROUP LTD,54.997423,-1.70679,NE5 5NR,E08000021,False,False,False,,,09800156,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/09800156,,,False,True,False
LEIGHTON DESIGN & SCULPTING LIMITED,54.968227,-1.546085,NE6 3NT,E08000021,False,False,False,,,09364641,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/09364641,,,False,True,False
LIL BILL LTD,55.015085,-1.626422,NE3 2HR,E08000021,False,False,False,,,14130417,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/14130417,,,False,True,False
LILI FILM (2022) LIMITED,54.960913,-1.640882,NE4 7YD,E08000021,False,False,False,,,13856647,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/13856647,,,False,True,False
LISSOMS ERA LTD,54.98556,-1.604912,NE2 2AZ,E08000021,False,False,False,,,13543497,MICRO ENTITY,"[""47630 - Retail sale of music and video recordings in specialised stores"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/13543497,,,False,True,False
LITTLE BIG MOUTH THEATRE COMMUNITY INTEREST COMPANY,54.987447,-1.57553,NE6 5LU,E08000021,False,False,False,,,07669706,TOTAL EXEMPTION FULL,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/07669706,,,False,True,False
LITTLE BUILDINGS BOOKINGS LTD,54.974942,-1.595096,NE1 2PW,E08000021,False,False,False,,,14913876,NO ACCOUNTS FILED,"[""56302 - Public houses and bars"", ""90010 - Performing arts"", ""90020 - Support activities to performing arts"", ""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/14913876,,,False,True,False
LITTLEJEM WORKSHOP LTD,55.007932,-1.595405,NE7 7LX,E08000021,False,False,False,,,15715190,NO ACCOUNTS FILED,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/15715190,,,False,True,False
LIVE TRADING LIMITED,54.96966,-1.604285,NE1 3DQ,E08000021,False,False,False,,,03100229,SMALL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/03100229,,,False,True,False
LIVEWORKS (NEWCASTLE UPON TYNE) LTD,54.96966,-1.604285,NE1 3DQ,E08000021,False,False,False,,,08981067,SMALL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/08981067,,,False,True,False
LJ DANCE & PERFORMING ARTS ACADEMY LTD,54.970149,-1.581302,NE6 2HL,E08000021,False,False,False,,,15796232,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15796232,,,False,True,False
LOCUS +,54.971137,-1.618832,NE1 5UD,E08000021,False,False,False,,,02939638,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/02939638,,,False,True,False
LOCUS + PUBLISHING LIMITED,54.971137,-1.618832,NE1 5UD,E08000021,False,False,False,,,04858278,MICRO ENTITY,"[""91011 - Library activities""]",http://business.data.gov.uk/id/company/04858278,,,False,True,False
LORD RICHARD MACLEOD LTD,54.970856,-1.615895,NE1 5JE,E08000021,False,False,False,,,08451089,UNAUDITED ABRIDGED,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/08451089,,,False,True,False
LUMOSCAPE LTD,54.982319,-1.682743,NE5 2JJ,E08000021,False,False,False,,,09952243,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/09952243,,,False,True,False
Laura Harrington,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Laura Johnston,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Laura Turner,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Lauren Stafford,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Lee Renforth,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Lewis Jobson,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Liberdade community development trust,55.011060,-1.630352,NE3 3HD,E08000021,False,False,True,E08000021,Newcastle upon Tyne,06548122,GROUP,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/06548122,1163955,www.liberdade.co.uk,True,True,True
Lindsay Duncanson,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Little Inventors Worldwide Ltd,,,DH3 2PA,,False,False,True,E08000021,Newcastle upon Tyne,10433685,TOTAL EXEMPTION FULL,"[""82990 - Other business support service activities n.e.c."", ""85590 - Other education n.e.c.""]",http://business.data.gov.uk/id/company/10433685,,,True,True,False
Lizzy Mansfield,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Luca Rutherford,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
MAGNETIC NORTH EAST CIC,54.974093,-1.618757,NE1 4BF,E08000021,False,False,False,,,09901500,MICRO ENTITY,"[""90010 - Performing arts"", ""90020 - Support activities to performing arts"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/09901500,,,False,True,False
MANGO STUDIO PRODUCTIONS LTD,54.974638,-1.579602,NE6 2DW,E08000021,False,False,False,,,06999563,UNAUDITED ABRIDGED,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/06999563,,,False,True,False
MARISAM EVENTS LTD,54.969645,-1.618643,NE1 5DW,E08000021,False,False,False,,,14770287,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/14770287,,,False,True,False
MATT PAGAN PRODUCTIONS LTD,54.978659,-1.681631,NE15 7DL,E08000021,False,False,False,,,15722937,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15722937,,,False,True,False
MATTHEW LORENZO PRODUCTIONS (HURST) LTD,54.962685,-1.647801,NE4 7YA,E08000021,False,False,False,,,14150451,MICRO ENTITY,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/14150451,,,False,True,False
MATTHEW LORENZO PRODUCTIONS LIMITED,54.962685,-1.647801,NE4 7YA,E08000021,False,False,False,,,13546039,MICRO ENTITY,"[""59111 - Motion picture production activities"", ""59113 - Television programme production activities""]",http://business.data.gov.uk/id/company/13546039,,,False,True,False
MAVID LIMITED,54.991556,-1.689141,NE5 2YH,E08000021,False,False,False,,,14961667,TOTAL EXEMPTION FULL,"[""84120 - Regulation of health care, education, cultural and other social services, not incl. social security""]",http://business.data.gov.uk/id/company/14961667,,,False,True,False
MAWSON & WAREHAM (MUSIC) LIMITED,54.973132,-1.613142,NE1 5BP,E08000021,False,False,False,,,00957980,TOTAL EXEMPTION FULL,"[""58190 - Other publishing activities"", ""59112 - Video production activities"", ""59200 - Sound recording and music publishing activities""]",http://business.data.gov.uk/id/company/00957980,,,False,True,False
MAYA'S HEALTH LTD,54.990179,-1.664755,NE5 3NH,E08000021,False,False,False,,,13496060,TOTAL EXEMPTION FULL,"[""84120 - Regulation of health care, education, cultural and other social services, not incl. social security""]",http://business.data.gov.uk/id/company/13496060,,,False,True,False
MAYDIA LIMITED,54.997777,-1.686811,NE5 2LH,E08000021,False,False,False,,,12114215,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/12114215,,,False,True,False
MCLEVIT PRODUCTION LIMITED,55.015916,-1.671375,NE3 2XA,E08000021,False,False,False,,,14750700,NO ACCOUNTS FILED,"[""59112 - Video production activities"", ""59200 - Sound recording and music publishing activities""]",http://business.data.gov.uk/id/company/14750700,,,False,True,False
MDM AGENCY LTD,55.008162,-1.622124,NE3 1DL,E08000021,False,False,False,,,09948629,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/09948629,,,False,True,False
MEDIA BORNE LIMITED,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,11314248,MICRO ENTITY,"[""59111 - Motion picture production activities"", ""59112 - Video production activities"", ""74202 - Other specialist photography""]",http://business.data.gov.uk/id/company/11314248,,,False,True,False
MEERKAT FILM PRODUCTIONS LTD,54.980785,-1.582225,NE6 5NT,E08000021,False,False,False,,,05902439,MICRO ENTITY,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/05902439,,,False,True,False
MEGAS UNION GLOBAL LTD,55.029574,-1.662094,NE13 9EJ,E08000021,False,False,False,,,15640597,NO ACCOUNTS FILED,"[""58110 - Book publishing"", ""59112 - Video production activities"", ""59200 - Sound recording and music publishing activities""]",http://business.data.gov.uk/id/company/15640597,,,False,True,False
MEMORIES TO MASTERPIECE LTD,54.967671,-1.611054,NE1 3RF,E08000021,False,False,False,,,15633662,NO ACCOUNTS FILED,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/15633662,,,False,True,False
MERYEM CARSON LTD,55.029521,-1.646466,NE13 9BD,E08000021,False,False,False,,,14405351,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/14405351,,,False,True,False
MICHAEL WARD DESIGN LIMITED,54.969146,-1.620116,NE1 5DZ,E08000021,False,False,False,,,04381279,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/04381279,,,False,True,False
MIKE GIBLIN ILLUSTRATION LIMITED,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,07862651,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/07862651,,,False,True,False
MOJO RISIN' PUBLISHING LIMITED,54.971137,-1.618832,NE1 5UD,E08000021,False,False,False,,,09463181,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/09463181,,,False,True,False
MORDEN TOWER BOOK ROOM LTD,54.999216,-1.62066,NE3 4AN,E08000021,False,False,False,,,15850892,NO ACCOUNTS FILED,"[""58110 - Book publishing""]",http://business.data.gov.uk/id/company/15850892,,,False,True,False
MOTH STUDIOS LTD,55.020935,-1.644307,NE3 2AX,E08000021,False,False,False,,,10930972,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/10930972,,,False,True,False
MOTOWORLD ONLINE LIMITED,55.007225,-1.645273,NE3 3BD,E08000021,False,False,False,,,15508868,NO ACCOUNTS FILED,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/15508868,,,False,True,False
MOVE EASY NORTH EAST CIC,54.980002,-1.58453,NE6 5NS,E08000021,False,False,False,,,14774808,NO ACCOUNTS FILED,"[""90010 - Performing arts"", ""90030 - Artistic creation"", ""96040 - Physical well-being activities""]",http://business.data.gov.uk/id/company/14774808,,,False,True,False
MOVERE OPUS PICTURES LIMITED,54.984767,-1.603998,NE2 1TJ,E08000021,False,False,False,,,14900021,NO ACCOUNTS FILED,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/14900021,,,False,True,False
MR7TRADE LTD,54.96677,-1.65511,NE4 8HE,E08000021,False,False,False,,,15094879,NO ACCOUNTS FILED,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/15094879,,,False,True,False
MSLEXIA PUBLICATIONS LIMITED,54.972816,-1.621424,NE1 4JE,E08000021,False,False,False,,,03374941,TOTAL EXEMPTION FULL,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/03374941,,,False,True,False
MUFARO PRIVATE LIMITED LIMITED,54.963479,-1.557181,NE6 3RY,E08000021,False,False,False,,,14197286,MICRO ENTITY,"[""84120 - Regulation of health care, education, cultural and other social services, not incl. social security"", ""87300 - Residential care activities for the elderly and disabled""]",http://business.data.gov.uk/id/company/14197286,,,False,True,False
MUSECOLOGY LTD.,54.972954,-1.589505,NE6 1LG,E08000021,False,False,False,,,13806170,MICRO ENTITY,"[""59200 - Sound recording and music publishing activities"", ""71112 - Urban planning and landscape architectural activities"", ""85520 - Cultural education"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/13806170,,,False,True,False
MUSICAL BUDS CIC,55.027119,-1.638746,NE3 5RG,E08000021,False,False,False,,,13221035,TOTAL EXEMPTION FULL,"[""85520 - Cultural education""]",http://business.data.gov.uk/id/company/13221035,,,False,True,False
MY VERSATILE HEALTHCARE LTD,54.981307,-1.737562,NE15 8LN,E08000021,False,False,False,,,11643403,MICRO ENTITY,"[""78109 - Other activities of employment placement agencies"", ""78200 - Temporary employment agency activities"", ""84120 - Regulation of health care, education, cultural and other social services, not incl. social security""]",http://business.data.gov.uk/id/company/11643403,,,False,True,False
MYRMIDON BOOKS LIMITED,54.97132,-1.597491,NE1 3DY,E08000021,False,False,False,,,05498285,TOTAL EXEMPTION FULL,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/05498285,,,False,True,False
Manpreet Kambo,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Martha Wheatley,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Mathieu Geffré,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Matthew Pickering,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Matthew Tuckey,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Megan Brown,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Melanie Rashbrooke,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Melody Sproates,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Merle Harbron,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Mi Viejo Fruta Ltd,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Michael John Heatley,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Michael MacDonald,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Mick Smith,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Monica Hardcastle,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Monkfish Productions CIO,,,,,False,False,True,E08000021,Newcastle upon Tyne,CE020029,NO ACCOUNTS FILED,"[""None Supplied""]",http://business.data.gov.uk/id/company/CE020029,,,True,True,False
Moving Parts Arts CIO,,,,,False,False,True,E08000021,Newcastle upon Tyne,CE026125,NO ACCOUNTS FILED,"[""None Supplied""]",http://business.data.gov.uk/id/company/CE026125,,,True,True,False
NADANTA LIVE LTD,54.974253,-1.591008,NE6 1LH,E08000021,False,False,False,,,14527501,NO ACCOUNTS FILED,"[""58290 - Other software publishing"", ""59112 - Video production activities""]",http://business.data.gov.uk/id/company/14527501,,,False,True,False
NB MEDIA SERVICES LIMITED,54.979114,-1.708845,NE15 8AE,E08000021,False,False,False,,,15350435,NO ACCOUNTS FILED,"[""59112 - Video production activities"", ""60200 - Television programming and broadcasting activities""]",http://business.data.gov.uk/id/company/15350435,,,False,True,False
NE1 MEDIA LTD,54.984283,-1.630785,NE2 4PB,E08000021,False,False,False,,,15486807,NO ACCOUNTS FILED,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/15486807,,,False,True,False
NE14.TV LTD,54.974253,-1.591008,NE6 1LH,E08000021,False,False,False,,,07781207,TOTAL EXEMPTION FULL,"[""78101 - Motion picture, television and other theatrical casting activities""]",http://business.data.gov.uk/id/company/07781207,,,False,True,False
NE14.TV PRODUCTIONS COMMUNITY INTEREST COMPANY,54.974253,-1.591008,NE6 1LH,E08000021,False,False,False,,,11916023,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/11916023,,,False,True,False
NETWORK ARTISTS LTD,54.971804,-1.652692,NE4 8SH,E08000021,False,False,False,,,05898491,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/05898491,,,False,True,False
NEURO-SONIC LTD,54.985541,-1.58041,NE6 5XH,E08000021,False,False,False,,,05315081,TOTAL EXEMPTION FULL,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/05315081,,,False,True,False
NEWCASTLE ARTS CENTRE TRUST LIMITED,54.970002,-1.617999,NE1 1SG,E08000021,False,False,False,,,02383592,TOTAL EXEMPTION FULL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/02383592,,,False,True,False
NEWCASTLE CIRCUS ARTS CIC,54.984985,-1.651797,NE4 9UA,E08000021,False,False,False,,,14867617,NO ACCOUNTS FILED,"[""86900 - Other human health activities"", ""90020 - Support activities to performing arts"", ""93130 - Fitness facilities""]",http://business.data.gov.uk/id/company/14867617,,,False,True,False
NEWCASTLE DRUM TUITION LTD,55.000841,-1.561413,NE7 7GP,E08000021,False,False,False,,,14506807,TOTAL EXEMPTION FULL,"[""85520 - Cultural education"", ""90010 - Performing arts""]",http://business.data.gov.uk/id/company/14506807,,,False,True,False
NEWCASTLE FRINGE FESTIVAL LTD,54.979461,-1.649798,NE4 9NU,E08000021,False,False,False,,,14653142,NO ACCOUNTS FILED,"[""90010 - Performing arts"", ""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/14653142,,,False,True,False
NEWCASTLE INTERNATIONAL ACADEMY LIMITED,54.970172,-1.624196,NE1 4HZ,E08000021,False,False,False,,,11016078,MICRO ENTITY,"[""85520 - Cultural education""]",http://business.data.gov.uk/id/company/11016078,,,False,True,False
NEWCASTLE MEAD LTD,54.996534,-1.58625,NE7 7JD,E08000021,False,False,False,,,14657323,NO ACCOUNTS FILED,"[""47910 - Retail sale via mail order houses or via Internet"", ""58110 - Book publishing"", ""82990 - Other business support service activities n.e.c."", ""85590 - Other education n.e.c.""]",http://business.data.gov.uk/id/company/14657323,,,False,True,False
NEWCASTLE PANTO LIMITED,55.011201,-1.623642,NE3 3PF,E08000021,False,False,False,,,06782210,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/06782210,,,False,True,False
NEWCASTLE PEOPLE'S THEATRE ARTS TRUST LIMITED,54.990445,-1.584953,NE6 5QF,E08000021,False,False,False,,,00393739,TOTAL EXEMPTION FULL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/00393739,,,False,True,False
NEWCASTLE QURAN SCHOOL LIMITED,54.9829,-1.62158,NE2 4AD,E08000021,False,False,False,,,12889999,MICRO ENTITY,"[""85520 - Cultural education"", ""85600 - Educational support services""]",http://business.data.gov.uk/id/company/12889999,,,False,True,False
NEWCASTLE THEATRE ROYAL TRUST LIMITED,54.972706,-1.612021,NE1 6BR,E08000021,False,False,False,,,01217427,FULL,"[""90020 - Support activities to performing arts"", ""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/01217427,,,False,True,False
NEWCASTLE UPON TYNE CHAMBER MUSIC SOCIETY LIMITED,54.986768,-1.589758,NE2 1HE,E08000021,False,False,False,,,03433055,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/03433055,,,False,True,False
NICE GUY EDDIE LIMITED,54.98292,-1.58389,NE6 5JA,E08000021,False,False,False,,,07550799,TOTAL EXEMPTION FULL,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/07550799,,,False,True,False
NICE SWAN ACADEMY LTD,54.968366,-1.612141,NE1 3NG,E08000021,False,False,False,,,10032876,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/10032876,,,False,True,False
NICE SWAN LTD,54.968366,-1.612141,NE1 3NG,E08000021,False,False,False,,,13438754,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/13438754,,,False,True,False
NIGERIAN ASSOCIATION TYNE AND WEAR CIC,55.005715,-1.685404,NE5 4EL,E08000021,False,False,False,,,15686199,NO ACCOUNTS FILED,"[""85520 - Cultural education""]",http://business.data.gov.uk/id/company/15686199,,,False,True,False
NM MEDIA GROUP LTD,55.034135,-1.663964,NE13 9EX,E08000021,False,False,False,,,11685256,MICRO ENTITY,"[""59112 - Video production activities"", ""74202 - Other specialist photography""]",http://business.data.gov.uk/id/company/11685256,,,False,True,False
NMDD LTD,54.973657,-1.573925,NE6 2NZ,E08000021,False,False,False,,,13853698,MICRO ENTITY,"[""84120 - Regulation of health care, education, cultural and other social services, not incl. social security""]",http://business.data.gov.uk/id/company/13853698,,,False,True,False
NORD FILMS LTD,54.986864,-1.578317,NE6 5LR,E08000021,False,False,False,,,12801904,MICRO ENTITY,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/12801904,,,False,True,False
NORTH EAST ARABIC LANGUAGE ACADEMY LTD,54.974443,-1.648389,NE4 9PN,E08000021,False,False,False,,,09109585,MICRO ENTITY,"[""85520 - Cultural education""]",http://business.data.gov.uk/id/company/09109585,,,False,True,False
