organisation,LAD24CD,LAD24NM,IPSO,NPO,Project Grant,latitude,longitude
William Steele,E08000021,Newcastle upon Tyne,,,True,,
Wolfgang Weileder,E08000021,Newcastle upon Tyne,,,True,,
Zoe Murtagh,E08000021,Newcastle upon Tyne,,,True,,
a-n The Artists Information Company,E08000021,Newcastle upon Tyne,,True,,54.971747,-1.6129209
fanSHEN,E08000021,Newcastle upon Tyne,,,True,,
joana feijo,E08000021,Newcastle upon Tyne,,,True,,
katie cuddon,E08000021,Newcastle upon Tyne,,,True,,
sean burn,E08000021,Newcastle upon Tyne,,,True,,
tiny dragon Productins,E08000021,Newcastle upon Tyne,,,True,,
tiny dragon Productions,E08000021,Newcastle upon Tyne,,,True,,
